,ID0,Tweet
1936,,44roba: 「僕はハーフ。日本が大好きでこの国を守りたいから入党した。皆さんは快く受け入れてくれたどこをどう聞き間違えたら差別主義者になるのか。（妨害者の）あなた方一度説明してください。誰も言えないでしょう。」 https://t.co/wtkyyr94Aq
1937,,G2AZlCr4F3hx6Y: ニューヨークで『日本の朝鮮学校差別』を糾弾･･･日本公館に抗議書簡～ネットの反応「米国に朝鮮学校ってあるの？だったらまずはそこで米国政府を批判する教育をして、米国政府に教育資金を拠出させてみてからにしたら？ww」 https://t.c…
1938,,F7rLJ9N9nD1Sc4: 最近は被害者ぶりながら女の代表ヅラする人が多いけどウンザリする。言う事、やる事、矛盾だらけでも、いざとなれば涙を流して感情に訴える被害者ビジネス。こういう連中こそ女の敵だと思うし、本当に苦しんでる人達をバカにしてるんだと思う。
1939,,_solitude: 何ナニ‼️朝日新聞、在日外国人の生活保護が正当と云わんばかりの記事は看過ならないな。在日韓国人らは市民であっても国民ではありません。最高裁2014年7月判決をしっかり理解してから記事にしてください。朝日新聞「町議、また韓国への差別的投…
1940,,BDi1iz1vzV4kLn: ﾊﾝの人達に弾圧されて生まれ変わったので、このプロフ画像と名前にびびっときたら再フォローしてくれると嬉しいです(&gt;_&lt;)
1941,,ZOZORITRT: 最高！ヴィーガンはヴィーガン弁当もって飲食店へどうぞ。どうせゼラチンとかで豚の皮由来の成分摂取してるし知らないところで動物由来の物くわされてるやろ https://t.co/1POR0jSuE9
1942,,Tapioka_TT: 女の又に力と書いて「努力」下に心があるのが「恋」真ん中に心があるのが「愛」漢字は男にとって、皮肉だね。 https://t.co/3MVhm2Kp4D
1943,,_ka38la_keiko: @nepi565656 @nipponkairagi オーストラリアですね。母乳も動物性だからまさか。と思っていた直後に起きた事件でした。（ヴィーガンやマクロビはアーモンドミルクを飲ますそうです。）ヴィーガンや白いものを食さないマク…
1944,,: @nipponkairagi 保守の人達のほうが、削除なったり基準が全くわからないですよね。
1945,,: とても感心した大切なのはバランスだと教えてくれる良い動画だと思いましたまる https://t.co/hv7p8c5jtC
1946,,@HiroT7er65ud ライオンですかww
1947,,HiroT7er65ud: 自分は子供の頃肉食獣だと思ってたので野菜は食べませんでしたw https://t.co/VJ92OunaeL
1948,,4649Haisai: サイコな感じを真似できてて最高だったわw https://t.co/u6eZhxot20
1949,,チマチョゴリ切り裂き捏造のソースhttps://t.co/eAy02q0yNG
1950,,Taratar30499184: @nipponkairagi @B52Guam @kantele_news 子供はヘイトスピーチされたら傷つくでしょうし、怖いと思うでしょうけど、だからって大人がその事を利用して外国人-&gt;日本人　OK日本人-&gt;外国人　ヘイトなんて…
1951,,UsagiMaskchan: @nipponkairagi @clockwork_peach @kantele_news チョゴリが切られるのも自作自演だったみたいね
1952,,YAMq9r6NSaaxowU: @nipponkairagi @erusaremu464 @kantele_news 確か切ったのは、日本人ではなかった。
1953,,OB3OwEzufzA8Yj6: @nipponkairagi @0hT5arejlZoe1TF @kantele_news これから、川崎市は自称被害者を許さない。誰にをはっきりさせる法律を作りました。
1954,,MX2P4Err: @nipponkairagi @kantele_news 朝鮮学校が如何に酷い学校か朝鮮学校の生徒さん達はこちらの本を読んでから発言してるのかしら❓😰この学校は青春？性春でなくて😂礼子今日はキレがあるかも😂 https://…
1955,,J14g0nb8W758X: @nipponkairagi @twisince2010 @kantele_news 差別て何かなー😡差別はして無いけど😡区別してるだけやけど😡朝鮮学校て日本の事を勉強して無いでしょ😡何で朝鮮学校🏫は😡日本の事を勉強し無いのかな😡これが…
1956,,5031: 真面目な顔で生肉をずっと握りし占めてるのは卑怯 https://t.co/m1vbHVBWbP
1957,,Fennel_U: (これ面白いよね) https://t.co/2YCnjBjiig
1958,,G1118609: 一理ある https://t.co/iyuv2644jS
1959,,_hunter: これほんとすこ。あとベジタリアンラザニアのやつ鬼すこ https://t.co/ubXkslyT37
1960,,: @nipponkairagi これ頭に何か巻いてると思ったら、植物のアクセサリをこれ見よがしに身に着けることでビーガンが革のベルトを締めている様子を皮肉ってるのね。高度だよねぇ…
1961,,1010: @nipponkairagi 一部のヴィーガンの過激さ、思い込みを立場を反対にしてみて揶揄した傑作動画。人間は立場次第でどんな理屈でも考えつくし、その理屈に自分自身も騙され、そのうち他人にも押し付けたくなってくる。面白いだけでなく、実に示唆…
1962,,Z32_627: @poyoto9 https://t.co/g8OGGS2aPW https://t.co/DQwZf1izwD
1963,,Mochan25816931: @nipponkairagi @roadmichael11 おもろ過ぎる^_^ https://t.co/syYLQoJuwn
1964,,Bo_San_2D: @schaf1120 @nipponkairagi 『クジラやイルカはスピリチュアルな存在だから殺さないで！！』はい！そんなクジラやイルカを見習って、肉を食べます！！スピリチュアルな存在だから！！
1965,,: @nipponkairagi なぜキムチなんて持って登校したのか（弁当？）？ラッシュアワーの電車でどうやって盗み食いしたのか？敢えてキムチを選んだのは日本人なのか？この短いコメントの中にツッコミどころ満載ですね。
1966,,Orion2019Orion: @nipponkairagi ラッシュアワーにキムチテロ？？？w地獄絵巻の大事件…日本人には発想不可能韓国内では茶飯事か？日本に韓国人が増えるとこういうことが起きるという予告？警告？w百万歩譲ってホントなら犯人は日本人で…
1967,,: @nipponkairagi 車内でキムチを盗み食いされた事案についてのKY訓練・何故盗み食いされたか？1.容器の蓋が開いていた2.直接お皿に盛って乗車した・防止策1.蓋つきの容器または袋に入れる指差呼称標語「ジップロック、よ…
1968,,29430098: 髪洗ってて気がついた。そういえば「セカンドレイプ罪」ってないよなぁ。ヘイトスピーチ罪もないし、DV罪もない。それらは既存の法律で対応可能だからね。でもパヨクは「ヘイトスピーチ法」を作った。名誉毀損では通らない脆弱な言いがかりを無理矢理通す…
1969,,29430098: 言わずもがな、この作品はフィクションです。さて、連れ去り漫画の執筆に戻りますか。 https://t.co/R2QSKwNuRK
1970,,YatagarasuOyaji: 自民党で元在日韓国人の金山しげき議員「在日韓国人犯罪者の実名報道は嫌韓を煽る」おいおい、実名報道だから、嫌韓をあおってるんじゃないんだよ。「あれ」が犯罪を犯すから、嫌韓になってるんだよ。議員にもなっておいて、「あれ」に配慮するよ…
1971,,44roba: 桜井誠氏｜あんたたち仕事しろよ！なんで公有地を不法占拠させるんだ？間違ってるだろ、これは、どう考えても。法治国家の国民として、警察官として法を守れよ、君たちも。何なんだよ、これは。事件起きてるだろ、今目の前で！事件が起きてるから怒ってるんだ…
1972,,: BBCのドキュメンタリーの何がすごいかと言うと、疑心暗鬼に駆られて盗聴器を探したが何も見つからず、外の車を公安の車と疑い怖がってる様子を流すだけで「詩織さんの家に盗聴器仕掛けて外に公安の黒い車が常駐してた事の暴露。日本人以外がみんな知った！」と…
1973,,@sionmamasan Facebookの左翼寄りは、もう極限まで来てますね。
1974,,@sionmamasan 狂っていますね。これがヘイト認定されないのは不思議ですよ。
1975,,0527: （勝手にネトウヨ流行語）７　年末は　国もお掃除　総連掃出せ https://t.co/UELYw6GQRJ
1976,,: いやでもほんとこれよ。自身が進行するのは良いけど強要するのは間違ってる。 https://t.co/WYFZcb1rDF
1977,,304: @nipponkairagi @kantele_news 捏造と言えばアサヒ。情けないけどね。、、
1978,,0018: @nipponkairagi @kantele_news これに関してはもし本当なら好きな物着させるべきです。ヘイトもくそもない。ただの女子学生を襲うなど日本人として恥ずかしい行為だ！！
1979,,69: @nipponkairagi @Twinkle13980977 @kantele_news さすが売国朝日日報
1980,,カナダのトロントにクリスティという駅がある。駅前はコリアンタウンなんだが、この駅から乗客が乗ってくると電車内がキムチの激臭で充満して苦しんだものです。朝からニンニクまみれのキムチを食べる文化に、他人の迷惑省みず、自分さえ良ければい… https://t.co/xvu4dMRzD1
1981,,_1: ラッシュアワーにキムチとか迷惑だろ。匂いとか周りへの迷惑を鑑みない人々って自分で吹聴しているのが朝鮮人ですね。 https://t.co/73tT3iyVhm
1982,,_1: @nipponkairagi ラッシュアワーにキムチとかテ◯ですよね。匂いとか周りへの迷惑を鑑みない人々って自分で吹聴しているのが朝鮮人ですね。ホント迷惑ですね。
1983,,Fumanzoku_YP: ラッシュアワーでキムチ盗み食いは笑うわw https://t.co/HjtnjIVmNg
1984,,Ze2vLkNJh40RLor: @nipponkairagi ラッシュアワーでキムチ臭さに耐えきれず、手の届くところにキムチがあって棄てたならまだわかる((((；゜Д゜)))
1985,,: @hito197904 さっきタマタマこれ見た。超メンドクセェwwwhttps://t.co/upEGkY4w7X
1986,,_ishimori: @netuyoAfoZura @yoshidakoichiro @nipponkairagi 1軒目「とよかつ」の店側は、伊藤氏は生ビール2杯、しそサワー1杯、ワインをグラスで少なくとも数杯飲んでいたと証言。2軒目の店主は、伊藤氏は自ら…
1987,,69: @nipponkairagi キムチは食べませんどうしても食べたければ満州帰りの祖母直伝の挑戦漬を自作します
1988,,1sumaho: @nipponkairagi 電車で、しかもラッシュでキムチくさいのは...死活問題です！想像しただけでもこみあげてくる😫
1989,,@sionmamasan 朝鮮学校、最高裁で敗訴が確定してるのにあまりにもしつこいですね。法を守らない奴等は日本に住まないでもらいたい。 https://t.co/8NptC1hfUi
1990,,: @nipponkairagi https://t.co/NAkx4un9rk納得いかないな。
1991,,05: @sionmamasan @Sherrymaru0827 無償化対象の条件みたしてないだけで 差別ではないと思います。日本の教育機関に通わせないとかだと 差別ですけど 民族教育がしたいのなら 母国へ要求すべきですよね💧
1992,,: 差別じゃないよ。他の外国人学校にも、日本は無償化対象してないはず。日本の教育機関に通えば無償化対象なるのになぜに通わないのかな？ https://t.co/eiKr0eJFUd
1993,,お前らの捏造と嘘松っぷりは、壮大過ぎて半島でしか通用しないんだよ。電車でキムチを盗み食いする日本人なんかいるわけないだろ(笑) https://t.co/t7rMVCN7dS
1994,,&gt;&gt;在日コリアンの子どもたちが通っていた「京都朝鮮第一初級学校」は、校庭が狭いため、隣接する公園を運動場として使っていました。→サッカーゴール、朝礼台とスピーカーを設置、学校の運動場として50年も不法占拠して日本人を追い出して苦情が入ってたんですよ。批判されて当然だろうが。
1995,,&gt;&gt;かつて女子生徒は民族衣装のチマチョゴリを着て通学していました。しかしチマチョゴリが切られる事件が相次いだ事などから、今はブレザーで登校し学校で着替えています。→総連と朝日が捏造したと元記者が暴露してるぞ。日本人ヘイトのFa… https://t.co/LtKludWCwQ
1996,,2: 報道特集。金平「詩織さん全面勝訴の判決が出ました。世界的な広がりを見せるMe Too運動とも繋がる画期的な出来事でした」まだ裁判は続くぞドアホ。ワイドショーも時間を割き詩織特集。初鹿は殆ど報道せず。公平公正に報道しろ。特定野党は初鹿にMe To…
1997,,: なんで韓国に行ってまで、日本の悪口を言う必要があるんだ⁉️しかも寛容さにおいては世界一だろが😡👊💥是枝裕和監督が韓国のテレビ番組に出演「日本社会は寛容さを失った。社会的弱者が、より弱い人に槍を向ける。弱者への攻撃が許されている状況」 h…
1998,,_mo: @sakuranbou110 @nipponkairagi @IskU1 ん？ これは逮捕状出てるのに、7日以内で逮捕されないのは異常ってことを言いたいの？
1999,,@LimcaLemon @FantaMiyu 飲んでも飲まれるなとは、良く言ったものですよね。
2000,,＞日韓関係における「正しい謝り方」とは宗主国・中国様がやってるように、力で躾けるしかないですね・・しかし朝日って本当に韓国＆北の広報誌なんだな・・・日韓関係における「正しい謝り方」とは　大澤真幸さん：朝日新聞デジタル https://t.co/9LwU86Rure
2001,,伊藤詩織さん、津田大介などパヨクの香ばしいメンツと一緒に写真をとりまくる・・・伊藤詩織さん、ヤバい画像が発掘されてしまうｗｗｗｗｗｗｗｗｗｗ https://t.co/yuajTOE6v9
2002,,刑事で敗訴して民事で慰謝料の支払いを受けるだけです。しかしまだそれも確定ではありません。しかし、「法的措置をとる」といって早速言論の抑圧に乗り出してきている・・・ https://t.co/PXwayUqvR2
2003,,KadotaRyusho: 朝日や毎日の部数激減になぜ歯止めがかからないのか。昨日のマスコミ倫理懇談会での講演の前にある人と話し合ったが、「そんなの当り前。すき好んで誰がわざわざ真実をねじ曲げている新聞を読みますか。ネットでいくらでも真実を引っ張り出せる時代に」と。新聞…
2004,,: 本当これです。私も相当の時間を掛け、足も使って調べあげましたが陰も形もない。これは元々の名前が伊藤詩織では無かったか、元々日本在住では無かったか。これだけ反日的な露出をすれば、旧知の人間から何かしら突っ込みがあるはずが、何もないのは育った環…
2005,,7Znv478Zu8TnSWj: この人の幼馴染みや、中高大の同級生とかが出てこないのはなぜ？どこで育ち、どういう経緯で渡米してピアノバーで働くことになったのか？実に不思議ね… https://t.co/NEcpPniH6q
2006,,: NYでホステスをしていた伊藤が、客の山口氏に懇願して日テレのインターンを紹介してもらった。つまり山口氏は伊藤のジャーナリストの道を拓いた恩人。更に要求を重ね、思い通りにならなかった腹いせに、人権派ジャーナリストとして著名になる為に山口氏を地…
2007,,_kakiko: 望月イソ子や、伊藤和子達の究極の目的は社会主義革命です。その為に利用しているのが人権問題と差別！日本人女性の人権を守るつもりなどありません。その証拠に、初鹿議員の不祥事は、全く非難しない。彼女達は反日の活動家ですよ。伊藤詩織も同じ！ https…
2008,,: 「チャック初鹿」が送検された。財務次官のセクハラで立民は麻生大臣の辞任を要求した。さあ、枝野代表は辞任しないのか？それとも、自分には甘い政党なのか？立憲民主党の「初鹿明博代議士」を、警視庁が強制わいせつ容疑で書類送検していた https://t.…
2009,,毎度毎度、左翼とマスゴミは選挙で選ばれた内閣を否定しまくっている。パヨク＆マスゴミが民主主義を妨害してることに一般国民が気づいてないとでも思ってんのか？朝日記者「安倍政権は発展途上国の独裁と似ていて、独裁者と取り巻きによる税金… https://t.co/24Cl8UBHEv
2010,,690915: 在日朝鮮人のブログ怒りがこみ上げてくる。💢 https://t.co/qJ1J5tuSQJ
2011,,日本のマスゴミは「両論併記」もまったくせず、終始世論操作に余念がない。公平性も中立性もまったくない。ネットではかならず賛否両方の書き込みがされることを考えると、ネットの方が公平性・中立性が高い・・・このようなマスゴミに放送権を… https://t.co/j8UnHpe9N5
2012,,野党の不祥事には「報道しない自由」が発動される野党はマスゴミという利権に守られた報道の分野の上級国民だそして政府・与党は「誤解される表現」でしか報道されない立民・初鹿氏、強制わいせつ容疑で書類送検の事実認める #産経プラス https://t.co/vUCeMYjre3
2013,,多文化共生を唱える人が日本人を日本から排除しようとするとか、それこそ多文化共生できてないじゃん・・・民主党の支持者 「多文化共生が嫌な日本人は日本から出て行きそこで日本人のための国を作るほうが幸せ 」12/17 - 国難にあっ… https://t.co/8KzoE5EX2t
2014,,@aolibai @donko824 以下のニュースで詳細が。電車に乗って途中からファーストクラスに座ったそうです。鉄道会社が「鉄道会社のサービスについてもツイートしてくれてもよかったのに」といっているは、その際に格別の配慮をした… https://t.co/172crYf99G
2015,,記者がサンゴにKYって傷つけて写真撮って捏造報道までした朝日新聞が何か言ってますもう自分で何をしてきたも忘れたのか？【朝日新聞社説】土砂投入から１年、サンゴを傷つけたとして撤去と工事の中止を求めたが、国は一顧だにしない。沖縄… https://t.co/UdQr8iRiKW
2016,,立憲民主党の「初鹿明博代議士」が強制わいせつ容疑で書類送検される・・・野党の皆さんは何をしてもマスゴミは報道しない。#MeToo も被害者が左翼関係者じゃないと発動しない。こんな国に誰がした・・？【速報】立憲民主党議員、… https://t.co/sSCRsDRwqc
2017,,EASY39012436: @D__Kaien @hoshusokuhou ジャーナリストの仕事が政府の批判して敵国から金を貰うことだと勘違いしてる連中ばかりですね
2018,,似非環境少女グレダ「混んでる電車で床に座って帰宅、っと…」写真公開鉄道会社「でもあなたファーストクラスだったよね！」グレダ「席に着く前の写真よ」鉄道会社「ってかフランクフルトでもう座ってたやん」なんでわざわざ嘘つくんだ？ https://t.co/32hSWwgNvm
2019,,日本に健全な保守系メディアがないのは不幸ですね・・・自民・和田議員「テレビ朝日『報道ステーション』、事実と異なる結論ありきの編集やコメントは、ジャーナリズムとは言えません」 ｜ 保守速報 https://t.co/Nbzb4MX10V @hoshusokuhouさんから
2020,,おかしいのは韓国や朝日のほうだろ何で左翼のやつらは「自分は好き放題に言うが、相手の批判は許さない」という一方向で一方的な言論を好むんだろうね・・・【朝日新聞】韓国の三権分立を否定したり、韓国に攻撃的な言葉を投げたり、日本はど… https://t.co/vDiyG0OPSs
2021,,グレダは他人を非難するだけで、なにも生産的な活動はしていないんですがね・・・「会議に出て涙ながらにブチ切れる」というパフォーマンスを世に広めたいのかな・・？ https://t.co/bBJCL8Bqjh
2022,,_cats: @D__Kaien まあ端的に言って、日本の国力を削ぎたい勢力がスポンサードしている、いつものポリコレで偽装した「嫌がらせ」。それをこれまたひとつ覚えに有り難がる愚かなマスメディア。かつてのナイーヴな日本国民なら騙せてきただろうが、こっち…
2023,,つまり蓮舫にはインテリジェンスがないっていうことか報ステのフェイクニュースにひっかかる立憲民主党・蓮舫「インフォメーションをインテリジェンス！今こそフェイクを見分ける力が求められます。」お前が言うなと馬鹿にされ炎上ｗｗｗ :… https://t.co/klAMKsfhJX
2024,,日本が環境会議で「化石賞」という皮肉の賞をもらいました。日本の二酸化炭素排出量の推移はとても低いレベルで横ばいです。そんでとんでもなく増加してる世界第二の経済大国は無視。日本は完全になめられてる・・日本に再び「化石賞」小… https://t.co/6EdlOoRJLV
2025,,「切り抜きは許容範囲」という駒大の教授のコメントで朝日新聞が堂々と捏造報道宣言ｗｗｗもうこいつら完全に工作機関だ国益に反するからさっさと廃刊にすべきです・・「世耕発言を切り貼りする程度は許容範囲」と朝日新聞が表明　印象操作… https://t.co/jCGrUTS53S
2026,,ぜひ報道ステーションには１．丁寧に説明したら、どのような説明になったのか、２誤解を招かない表現にしたらどのような表現になったのか、を具体的に示してもらいたいです。「本当はばらばらな発言を、大臣が悪者に見えるようにくっつけて編… https://t.co/zll297o84U
2027,,SekoHiroshige: 蓮舫参議院立憲民主党幹事長様、本件はテレビ朝日報道責任者が私のもとに謝罪に訪れ、今夜の報道ステーションでキャスターが頭を下げて謝りました。本ツイートも下げていただくよう要請いたします。 https://t.co/a4UjTLoMyJ
2028,,28oa7k1: @D__Kaien 日本の国会を停滞させようとする韓国、北朝鮮、中国の息のかかった政党とマスゴミばかりが日本。スパイ防止法がなけりゃーどうしようもないわ(´×ω×`)
2029,,2019: 【河村市長の会見の報道の有無】読売：×日経：×朝日：×毎日：×。むしろトリエンナーレ擁護記事掲載(11面)産経：×東京：×NHK：×日テレ：×TBS：×テレ朝：×フジ：×やはり日本のマスコミは表現の不自由展で天皇侮辱映像が…
2030,,2014: 東京新聞：経済対策に基金の活用とある麻生副総理：基金て単語が何処にあるか教えてごらん？東京：ブリーフィングで基金のような形と麻生氏：じゃあ基金じゃないね。基金という言葉はないだろうが東京：使われてません麻生氏：基金という言葉は今回…
2031,,「誤解を招く表現があった」ではなく、「世論操作がバレてしまった」ですよね。こいつら全く反省してないし、同じこと繰り返すわ。一週間停波などの処罰をするべきです。 https://t.co/kNHKLxYM3V
2032,,テレビによるフェイクニュース、というか捏造報道。報道を商売にしていて、こういう悪意に満ちた情報操作をしてる局は放送停止にしていいだろ。まさに日本国民の敵だ【速報】報道ステーション捏造報道事件　テレビ朝日報道局長が自民・世耕氏… https://t.co/0DEfIAbWxp
2033,,そりゃ日本国民から見たら桜見る会なんかどーでもいいわ選挙で選ばれた内閣を打倒しようとする野党＆マスゴミは国民の敵野党合同「桜を見る会追及街宣」が大失敗に終わる！集まったのはマスコミが大半、田村智子のビラ配りは冷たくスルー https://t.co/Ywz3L8Br1p
2034,,2_yes: 【若者の政治関心度】安倍晋三総理大臣「若い世代はＳＮＳなど新しいツールを使いこなし自らの意見を発信し通常メディアだけでなく世界の出来事を自分自身の情報収集力によって判断している世代が台頭してきた。国会において一方が提案するだけ一方は批判するだけでは国民…
2035,,SekoHiroshige: あまりに酷いし、正確な理解を国民から頂くという公益性があるので、自宅のテレビから撮った当該シーンをアップします。 https://t.co/sKoCO6AeU9
2036,,2019: 河村市長の表現の不自由展に関する記者会見中は反論も質問もしなかったのに、終わった後に文句を言いだす津田大介。捨て台詞も吐いてるし本当に惨め https://t.co/r5e3qM7MaE
2037,,SekoHiroshige: 今夜の報道ステーションの切り取りは酷い。私は定例記者会見が終わった後、今日の会見が今年最後になるかもしれないという意味で「良いお年を」と言っただけなのに、それを桜を見る会をと絡めて、問題を年越しさせようとしているかのように編集している。…
2038,,通常国会での憲法改正を目指すという記事。しかし憲法改正を阻止しようと、野党＆マスゴミがたいしたことないことで「大スキャンダルだ」と騒いで審議を妨害し、アポなし訪問して「門前払いだ」と大騒ぎする未来が見えます・・・首相「改憲… https://t.co/mK4CNOT9cS
2039,,やっぱり騒いでいるのは日本国民ではなかった・・・【話題】日本市民、国会前でアベに抗議「内閣支持率が下がらない！何もかもが腐りきる日本」…最後は韓国の歌を唄い解散 https://t.co/3lfOikftuC
2040,,パヨクが国を混乱させる手法①人権や環境という、ぱっと見それらしい大義名分を唱える②子供をつかって同情を誘う③社会の生産的活動を妨害世界中で展開してる様子です・・【発覚】グレタさん支援の環境団体、中国政府の工作機関か… https://t.co/80wQ7o8dXC
2041,,民主党鳩山政権でも呼ばれたとジャパンライフ元会長が証言し、野党そっ閉じ...徹底的にやっていいですよ！ https://t.co/dUz4F21nDG @Gamu_chさんから
2042,,落ち目の芸能人が、その知名度を活かして何らかの広告塔になって金を稼ぐっていうのはよくあることですね・・・ラサール石井、安倍首相に「これはもうリアル「バカ殿」では？」 https://t.co/QVKfJeL3aw
2043,,「川崎市で〈日本人を一方的にヘイトできる〉という在日特権をつくろうとしたら失敗したでござる」の巻です川崎市議会がヘイト条例に「日本人への差別にも罰則」を追加 ⇒ パヨクさん、ヘイト条例反対抗議デモでもう訳がわからない状態へｗｗ… https://t.co/hHFDm1oJNJ
2044,,中国が焚書してたってことは、次は学者が埋められるのか。ってもう人民が土中に埋められる事件は発生してた。焚書坑儒って紀元前の出来事なんですがね。現代でも起こるのか。中国に近代国家はむいてない中国の公立図書館が中国に都合の… https://t.co/l8O9eKFDTr
2045,,森ゆうこ参議院議員が支援していた福岡の現職町議、沖縄の高校生ら20人に大麻を売りさばいた容疑で逮捕〜ネットの反応「な？特定野党=反社だろ？」「これ自民党だったらマスコミは連日やるだろうなｗ」「ワロタｗ 地方議員が売人とかｗ どこの… https://t.co/9FboI83ee1
2046,,: @D__Kaien 報道ステーションは完全に反日なんですね。火力発電までやめさせて日本が電力を自給自足出来ないようにして、メガソーラーを設置し国土を破壊。そうして中国から電気を買わせて最終的にこのように生命線を握って、日本を属国化しようとしている。…
2047,,こういう自称・記者の工作員を堂々と出入りさせていること自体が問題です・・！【ｗ】望月記者「民主政権では十分考慮して選考。民主党政権より後退」→官房長官、即完全論破→ぱよが論破部分を「省略」→望月記者ＲＴ ｜ もえるあじあ(･∀… https://t.co/sVCvatqFud
2048,,韓国人のガイドがついていてもガイドが何も分かってないから意味がない・・対馬、和多都美神社「韓国人団体が拝殿に土足で侵入しました」「注意したがまったく反省してない、なぜ怒られているのか理解してない。拭きもしない」 https://t.co/X1kv2JYPrx
2049,,日本の二酸化炭素排出量はそれでもかなり低いレベルです・・・最大の排出量の中国に文句いいなよ・・報ステ「日本はなぜ石炭発電をやめられないのでしょうか…？」← 突っ込み殺到ｗｗｗｗｗｗｗｗｗｗｗｗ https://t.co/B69ocO28dn
2050,,@jcp_cc その「共産党」が一党独裁している中国がぶっちぎりで二酸化炭素排出していることはガン無視か・・・ https://t.co/sGrUVUxHn1
2051,,しかも番組が謝罪しただけで、本人は謝罪もしてなかった・・番組の訂正ツイートをリツイートしただけだとさ・・・スゲーな無責任すぎる田原総一朗さん、嘘をついてしまい朝生Twitterが謝罪。なお本人はリツイートしただけｗhttps://t.co/jRGd2KIBJv
2052,,松井市長「慰安婦報道は朝日自体が誤報だと謝罪した」→変態毎日新聞「慰安婦はデマというのはデマだ」朝日は記者会見して謝罪してたでしょ・・・U-1 NEWS : 松井市長に嘘をバラされた新聞記者が無様すぎる逆上記事を掲載　あま… https://t.co/DgTJW5JGAU
2053,,国民の信託を受けていないマスゴミが国民の信託を受けている議員を捏造報道で中傷しています・・・しかも、ツイートで訂正ってすげえ神経してるわ＃大きく捏造小さく訂正【デマ】テレ朝、田原総一朗氏の「ベネッセが自民・下村博文に二千数… https://t.co/1CCkOH3PFa
2054,,政府＆与党のことは悪意で捻じ曲げて、時には捏造までして報道しまくるが、野党が何しようが、本当に報道されない日本のマスゴミはまじでヤバイなジャパンライフ　立憲民主系会派・柿沢未途が代表を務める政党支部に計1940万円の献金… https://t.co/tDa840RISA
2055,,_watabatake: @mi2_yes 国会議事堂でグラビア撮影したバカが何を言ってるんだ？ https://t.co/0F0nNfQGPg
2056,,0930: @mi2_yes その理論だとこれも辞任ですね https://t.co/y0yLcwv8tb
2057,,関西生コンの逮捕者数は組織犯罪としては過去最大なのにマスゴミは報道しません。こいつらがリアルな反社組織です・・！「安倍政権による関西生コンへの大弾圧許すな！」大阪で主催者発表１２００人のパヨクが大騒ぎ - まとめたニュース https://t.co/nOALvgeoAz
2058,,選挙妨害は立派な犯罪です！これで警察官が何らかの処罰を受けたら、北海道も沖縄と同じく警察が萎縮して、市民団体が選挙違反しまくっても逮捕されない土地になっちゃいます！首相にヤジで排除された男性、警察官を刑事告訴　「黙っていれば… https://t.co/4mE0E2E0OP
2059,,Shin_kurose: 選挙妨害は立派な犯罪です。もしそれを許せば支持者の多い政党が対立陣営の選挙を妨害させれば良いのであって、それこそ権力者のやりたい放題になる。そんな想像すら沸かないのか、コイツらは。https://t.co/CNWELFv4Zz
2060,,_study_en: BTS好きな日本人。そろそろ気付こうよ。この人たちは反日です。はっきり言って気持ち悪いです。 https://t.co/OyCzzCZBZR
2061,,＃Metoo　運動の人たち、出番ですよ！えっ？被害者が左翼関係者じゃないと日本の＃Metooは発動しないんですか？【炎上】新井浩文被告有罪判決に、ガダルカナル「男として分かってあげたい部分ある…」ブラマヨ・吉田「おばあさん指… https://t.co/KGrhYfxV4N
2062,,21wannuumui: 神の道を説く者が恨みを説くとはいかに？ https://t.co/lbWA5aL9Xo
2063,,麻生財務大臣が海上自衛隊の潜水艦に体験搭乗→ 記者「自衛隊の私物化では？」 → 麻生「現場を歩かないで書く社会部の記者と違うから俺たちは」〜ネットの反応「副総理が潜水艦に搭乗したら私物化ってｗ　アホすぎやろｗ」「これは痛快w」 https://t.co/guuEgEuZHF
2064,,G2AZlCr4F3hx6Y: ツイ民「朝日新聞英語版が新井浩文の本名を隠し『2016年に日本アカデミー賞優秀助演男優賞を受賞俳のHirofumi Arai』と海外に発信… これじゃあ日本人が卑劣なレイプ魔と世界に印象づけているようなもんじゃないか！」〜ネットの反応「…
2065,,副総理が現場を視察したら「私物化」と批判されるのって、「日本列島は日本人だけの所有物じゃない」発言に通ずるものを感じます・・・！国壊議員も日本人だけじゃないみたいだし・・・蓮舫「内閣府職員はなぜ言い訳を重ねるのか。公僕だろ」 https://t.co/K7Hh8TFtDr
2066,,韓国の米国大使館が松明を持った現地の人たちに囲まれてる・・・これ先進国の光景じゃないだろ・・・【悲報】韓国人さんが米国大使館を囲む様子、部族の儀式みたいだと話題に→ ご覧くださいｗｗｗ（画像あり） : NEWSまとめもりー｜… https://t.co/hhfLAAhiy4
2067,,野党＆マスゴミは、現職の副総理＆財務大臣が国防の最前線を視察したら「私物化」呼ばわり・・どっちかというと国会やメディアを私物化して政権批判を続けてるのはマスゴミ＆野党のほう。こいつら、正常な国家運営を妨害することが仕事になっ… https://t.co/gyexTg9BhQ
2068,,007777: れいわ信者の重度障害者を抱える2人の議員に対する認識。ありえない程酷すぎる。 https://t.co/dBYje2RCzn
2069,,そもそも二酸化炭素の温室効果は科学的にはまだ立証されておらず、単なる仮説でしかない。こいつらは一体何と戦ってるんだ・・？しかも中国と米国がいない場でこんな事言っても無意味だし・・・国連事務総長「自然との闘いやめよ」 - ま… https://t.co/kLqy99wGWc
